2018-12-06 11:16:22,553 INFO Episode 57	Last reward: 1240.8139579532644	Average reward 1014.98
2018-12-06 11:16:29,120 INFO Episode 58	Last reward: 2035.934009816488	Average reward 2490.89
2018-12-06 11:16:34,164 INFO Episode 59	Last reward: 1379.8283870619077	Average reward 1055.03
2018-12-06 11:16:41,707 INFO Episode 60	Last reward: 2321.7633276718425	Average reward 1805.99
2018-12-06 11:16:47,300 INFO Episode 61	Last reward: 460.61550233842735	Average reward 1158.60
2018-12-06 11:16:54,186 INFO Episode 62	Last reward: 1786.019061564936	Average reward 1019.86
2018-12-06 11:17:00,490 INFO Episode 63	Last reward: 2111.5871479950742	Average reward 1955.25
2018-12-06 11:17:07,119 INFO Episode 64	Last reward: 2336.4320257591053	Average reward 1880.91
2018-12-06 11:17:13,198 INFO Episode 65	Last reward: 1476.1178517567196	Average reward 1826.30
2018-12-06 11:17:20,696 INFO Episode 66	Last reward: 2228.5610721054277	Average reward 2555.26
2018-12-06 11:17:28,072 INFO Episode 67	Last reward: 2687.536210652371	Average reward 2603.51
2018-12-06 11:17:34,709 INFO Episode 68	Last reward: 2442.5972172092806	Average reward 2398.57
2018-12-06 11:17:41,419 INFO Episode 69	Last reward: 2918.4144939297566	Average reward 2715.74
2018-12-06 11:17:46,691 INFO Episode 70	Last reward: 970.8932142816801	Average reward 853.13
2018-12-06 11:17:52,999 INFO Episode 71	Last reward: 1744.574989799061	Average reward 2223.82
2018-12-06 11:18:00,518 INFO Episode 72	Last reward: 2620.670530391229	Average reward 1368.21
2018-12-06 11:18:09,512 INFO Episode 73	Last reward: 2262.5156843792097	Average reward 1669.24
2018-12-06 11:18:15,597 INFO Episode 74	Last reward: 2010.1743943317094	Average reward 1089.02
2018-12-06 11:18:22,864 INFO Episode 75	Last reward: 2147.247530706934	Average reward 1475.97
2018-12-06 11:18:28,842 INFO Episode 76	Last reward: 1698.8465903672545	Average reward 1170.94
2018-12-06 11:18:34,444 INFO Episode 77	Last reward: 2210.9533367631016	Average reward 1112.23
2018-12-06 11:18:39,826 INFO Episode 78	Last reward: 814.5712939571496	Average reward 1347.78
2018-12-06 11:18:46,396 INFO Episode 79	Last reward: 2031.5655447279348	Average reward 1638.68
2018-12-06 11:18:53,772 INFO Episode 80	Last reward: 2487.0358832800757	Average reward 1705.44
2018-12-06 11:19:02,097 INFO Episode 81	Last reward: 2442.714432022259	Average reward 2224.09
2018-12-06 11:19:11,167 INFO Episode 82	Last reward: 2454.7766708835343	Average reward 2063.62
2018-12-06 11:19:18,636 INFO Episode 83	Last reward: 3024.254557360066	Average reward 2686.26
2018-12-06 11:19:24,946 INFO Episode 84	Last reward: 2607.7001972191683	Average reward 2600.37
2018-12-06 11:19:31,482 INFO Episode 85	Last reward: 2760.18468105625	Average reward 2397.01
2018-12-06 11:19:37,858 INFO Episode 86	Last reward: 2678.040660029667	Average reward 2535.37
2018-12-06 11:19:43,294 INFO Episode 87	Last reward: 632.0028526413163	Average reward 280.11
2018-12-06 11:19:48,544 INFO Episode 88	Last reward: 1309.911295069806	Average reward 633.86
2018-12-06 11:19:55,769 INFO Episode 89	Last reward: 1084.611830397001	Average reward 1253.20
2018-12-06 11:20:03,062 INFO Episode 90	Last reward: 1366.6669235223646	Average reward 664.87
2018-12-06 11:20:11,892 INFO Episode 91	Last reward: 2301.1161275437657	Average reward 1334.75
2018-12-06 11:20:18,542 INFO Episode 92	Last reward: 2877.0731660168276	Average reward 3081.22
2018-12-06 11:20:23,558 INFO Episode 93	Last reward: 260.9447463672167	Average reward 1444.18
2018-12-06 11:20:31,588 INFO Episode 94	Last reward: 2919.677913922308	Average reward 2144.11
2018-12-06 11:20:39,245 INFO Episode 95	Last reward: 3077.4249981401895	Average reward 1903.11
2018-12-06 11:20:45,473 INFO Episode 96	Last reward: 2966.09911791271	Average reward 1483.32
2018-12-06 11:20:52,254 INFO Episode 97	Last reward: 2762.9713269346616	Average reward 2349.45
2018-12-06 11:20:59,568 INFO Episode 98	Last reward: 0.24699295647656946	Average reward 1548.69
2018-12-06 11:21:07,986 INFO Episode 99	Last reward: 2851.195182801142	Average reward 2513.89
2018-12-06 11:21:14,391 INFO Episode 100	Last reward: 2874.466696291808	Average reward 3023.18
2018-12-06 11:21:19,499 INFO Episode 101	Last reward: 1300.359665937409	Average reward 2411.29
2018-12-06 11:21:19,500 DEBUG backend agg version v2.2
2018-12-06 11:21:26,577 INFO Episode 102	Last reward: 3055.5706342513163	Average reward 2737.98
2018-12-06 11:21:33,618 INFO Episode 103	Last reward: 2529.8896579658667	Average reward 1932.38
2018-12-06 11:21:40,910 INFO Episode 104	Last reward: 2050.579869281656	Average reward 2268.58
2018-12-06 11:21:48,753 INFO Episode 105	Last reward: 2610.0112588408256	Average reward 1901.86
2018-12-06 11:21:54,344 INFO Episode 106	Last reward: 2801.840734416829	Average reward 2056.16
2018-12-06 11:22:00,801 INFO Episode 107	Last reward: 2268.9391366556815	Average reward 2490.19
2018-12-06 11:22:06,502 INFO Episode 108	Last reward: 0.9707027458228659	Average reward 1530.66
2018-12-06 11:22:13,737 INFO Episode 109	Last reward: 2848.377709950898	Average reward 2936.42
2018-12-06 11:22:20,204 INFO Episode 110	Last reward: -1.9655845759032897e-12	Average reward -0.00
2018-12-06 11:22:26,297 INFO Episode 111	Last reward: -2.2972500899127515e-12	Average reward -0.00
2018-12-06 11:22:33,004 INFO Episode 112	Last reward: -4.550988548942388e-11	Average reward -0.00
2018-12-06 11:22:39,973 INFO Episode 113	Last reward: 0.8617634152297494	Average reward 0.97
2018-12-06 11:22:46,659 INFO Episode 114	Last reward: 0.8922823558601257	Average reward 0.83
2018-12-06 11:22:53,976 INFO Episode 115	Last reward: 1.15566989210278	Average reward 0.64
2018-12-06 11:23:00,244 INFO Episode 116	Last reward: -4.013499424446185e-12	Average reward -0.00
2018-12-06 11:23:06,369 INFO Episode 117	Last reward: -2.2397770125726603e-09	Average reward -0.00
